evidence_id,app_id,platform,source_type,source_title,source_url,publication_or_update_date,date_checked,version_observed,release_or_update_date_observed,finding_domain,finding_status,finding_detail,claim_text_or_summary,evidence_strength,notes
EV001,APP001,Cross-platform,Official website,Woebot Health - Technology Overview / Responsible AI page,https://woebothealth.com/technology-overview/,,2026-09-08,,,AI disclosure,Identified,"Developer page explicitly states Woebot's conversational content is written by human conversational writers with clinical expert collaboration, and separately markets the product as a relational agent; this nuances a simple 'AI chatbot' label",Developer states Woebot's conversations are written by conversational writers along with collaboration from clinical experts,Direct primary source,Distinguish this developer characterization from third-party marketing descriptions that call Woebot an 'AI chatbot'; the two are not necessarily contradictory but use different framing
EV002,APP001,Cross-platform,Privacy policy,"Woebot Health Privacy Policy (effective Aug 31, 2022, webview version examined)",https://woebothealth.com/privacy-webview/,2022-08-31,2026-09-08,Not applicable,Not applicable,Privacy policy,Identified,A publicly accessible privacy policy was located and states conversation transcripts are not shared with third parties except to provide/improve services or to protect users; this does not constitute an audit of actual data-handling practices,Developer states transcripts are not shared with third parties except in limited circumstances and are never sold,Direct primary source,Policy identified does not mean privacy practices were independently verified; a more recent effective-dated policy could exist beyond what was examined
EV003,APP001,Not applicable,Peer-reviewed article,Delivering Cognitive Behavior Therapy to Young Adults With Symptoms of Depression and Anxiety Using a Fully Automated Conversational Agent (Woebot): A Randomized Controlled Trial,https://mental.jmir.org/2017/2/e19/,2017-06-06,2026-09-08,,,Clinical evidence,Evidence identified and relevant,"A peer-reviewed RCT (n=70, college students) directly evaluated the Woebot product and found preliminary reductions in self-reported depression and anxiety symptoms over ~2 weeks versus an information-only control; sample size is small and one co-author was affiliated with Woebot Labs, a potential conflict of interest",Fully automated conversational agent (Woebot) reduced depressive and anxiety symptoms relative to an information-only control over a 2-3 week period,Direct peer-reviewed evidence,"Small sample, short duration, non-clinical population (self-identified symptoms, not diagnosed), and co-authorship by a Woebot Labs employee are relevant limitations to interpretation"
EV004,APP002,iOS,Apple App Store,Wysa: Mental Wellbeing AI - App Store listing,https://apps.apple.com/us/app/wysa-mental-wellbeing-ai/id1166585565,,2026-09-08,,,AI disclosure,Identified,Store listing explicitly states the app uses AI to react to user-expressed emotions,"App Store description: ""Wysa is an emotionally intelligent chatbot that uses AI to react to the emotions you express""",Direct primary source,Store listing text can be updated by the developer over time; content examined reflects the version visible at time of check
EV005,APP002,Android,Google Play,Wysa: Mental Wellbeing AI - Google Play listing,https://play.google.com/store/apps/details?id=bot.touchkin,,2026-09-08,,,Privacy policy,Identified,"Google Play data-safety section discloses that app activity, app info/performance, and device/other IDs may be shared with third parties; this is a disclosure of data categories, not an evaluation of adequacy",Google Play data safety section states categories of data that may be shared with third parties,Direct primary source,Google Play data-safety disclosures are developer-self-reported and not independently verified by Google per Play Store's own framing
EV006,APP002,Not applicable,Peer-reviewed article,"An Empathy-Driven, Conversational Artificial Intelligence Agent (Wysa) for Digital Mental Well-Being: Real-World Data Evaluation Mixed-Methods Study",https://doi.org/10.2196/12106,2018-11-23,2026-09-08,,,Clinical evidence,Evidence identified but insufficient for specified claim,"Peer-reviewed mixed-methods study directly evaluated real-world Wysa usage data and user perceptions of empathy/therapeutic alliance; this is an observational, non-controlled real-world data study, not a randomized trial, and does not by itself establish clinical efficacy for a specific diagnosis",Real-world data evaluation found engaged users reported perceiving Wysa as empathetic and helpful for self-reported wellbeing,Indirect/supporting evidence,Study design is observational/real-world rather than a controlled trial; distinguishes engagement/perception findings from efficacy claims
EV007,APP003,iOS,Apple App Store,Youper: AI Mental Health - App Store listing,https://apps.apple.com/us/app/youper-ai-mental-health/id1060691513,,2026-09-08,,,AI disclosure,Identified,Store listing contains an explicit 'AI Disclosure' section stating the app is powered entirely by AI and responses are not reviewed by a licensed professional,"App Store 'AI Disclosure': ""Youper is powered entirely by artificial intelligence. You are interacting with an AI system, not a human.""",Direct primary source,"This is a strong, explicit first-party AI disclosure; store text may change over time and reflects the version examined"
EV008,APP003,Cross-platform,Terms of service,Youper Terms and Conditions (linked from App Store listing),https://www.youper.ai/terms-of-use,,2026-09-08,Not applicable,Not applicable,Terms of service,Identified,A publicly accessible terms-of-use page was located via the developer's linked URL; full content was not comprehensively reviewed in this pass,Terms link published by developer via App Store listing and website,Direct primary source,Only the existence/location of the terms page was confirmed in this pass; full clause-by-clause review was not performed
EV009,APP003,Not applicable,Other authoritative source,Third-party narrative review citing a Youper-affiliated study (Mehta et al.) in JMIR Mental Health chatbot review,https://doi.org/10.2196/78340,,2026-09-08,,,Clinical evidence,Claim identified but supporting evidence not identified,"A 2025/2026 JMIR narrative review lists a Youper-related study (Mehta et al.) among CBT-based chatbots evaluated in the literature, but the underlying primary Youper study itself was not independently retrieved and reviewed in this data-collection pass",Narrative review references a Mehta et al. study evaluating Youper alongside other CBT chatbots,Insufficient to assess,The primary study should be independently retrieved and reviewed before treating this as direct evidence; recorded here only as a lead requiring follow-up
EV010,APP004,Cross-platform,Privacy policy,Headspace Privacy Policy,https://www.headspace.com/privacy-policy,2026-03-30,2026-09-08,Not applicable,Not applicable,AI disclosure,Identified,Privacy Policy contains a section labeled 'AI Features' describing use of personal data to power machine-learning algorithms supporting the platform; specific consumer-facing AI features were not itemized in the excerpt examined,Privacy Policy references 'AI Features' and use of data 'to power machine learning algorithms that support our Platform',Direct primary source,The specific nature and scope of AI features were not fully detailed in the sections examined; further review of the full policy text is recommended
