app_id,app_name,developer,app_category,mental_health_focus,official_website_url,app_description_summary,ai_disclosure_status,ai_claim_summary,primary_claims,target_population,app_status,first_identified_date
APP001,Woebot,"Woebot Labs, Inc. (d/b/a Woebot Health)",Mental Health,depression;anxiety;conversational support,https://woebothealth.com,"Developer materials describe Woebot as a relational-agent app that delivers self-help content derived from CBT and related therapeutic approaches through a structured, choose-your-own-adventure style chat interface",Explicitly disclosed,"Developer materials describe Woebot as an automated conversational agent; the developer's own technology-overview page states conversations are written by conversational writers in collaboration with clinical experts, which is a narrower characterization than generative AI",Developer describes Woebot as helping users manage symptoms of depression and anxiety and build emotional resilience through CBT-based self-help exercises,Not explicitly specified beyond general adult self-help users in sources examined,Retired,2026-09-08
APP002,Wysa,Touchkin eServices Pvt. Ltd. (Wysa),Mental Health,anxiety;depression;stress;sleep;conversational support,https://www.wysa.com,"Developer materials describe Wysa as an AI-powered mental wellbeing chatbot combining mood tracking, CBT/DBT-based self-help tools, and optional human coach support",Explicitly disclosed,"Apple App Store listing explicitly states: ""Wysa is an emotionally intelligent chatbot that uses AI to react to the emotions you express""","Developer describes Wysa as helping users manage stress, anxiety, depression, and sleep through structured self-help conversations and mindfulness content","Developer states users must be at least 18, with a supervised pathway described for ages 13-18",Active,2026-09-08
APP003,Youper,"Youper, Inc.",Mental Health,anxiety;depression;emotional wellbeing;conversational support,https://www.youper.ai,"Developer materials describe Youper as an ""Emotional Health Assistant"" that guides users through AI-driven conversations and exercises intended to reduce stress and improve mood",Explicitly disclosed,"Apple App Store listing states: ""Youper is powered entirely by artificial intelligence... All responses are generated by AI and have not been reviewed by a licensed mental health professional""","Developer states the app is designed to help users manage stress, reduce anxiety and low mood, and build healthier relationships through science-informed exercises",Developer states Youper is intended for users aged 18 and older and is not designed or intended for minors,Active,2026-09-08
APP004,Headspace,"Headspace, Inc.",Wellbeing,meditation;stress;anxiety;depression;sleep,https://www.headspace.com,"Developer materials describe Headspace as a meditation and mindfulness app offering guided meditations, sleep content, and structured programs including a CBT-informed program for anxiety and depression",Explicitly disclosed,"Headspace's Privacy Policy contains a section labeled ""AI Features"" describing use of personal data to power machine learning and AI-related product features; specific AI-generated user-facing content was not itemized in the sources examined","Developer states its content and programs are intended to reduce stress and anxiety, improve sleep, and support emotional wellbeing",Not explicitly specified beyond general consumer users in sources examined,Active,2026-09-08
APP005,Calm,"Calm.com, Inc.",Wellbeing,meditation;sleep;stress;anxiety,https://www.calm.com,"Developer materials describe Calm as a meditation, sleep, and relaxation app offering guided meditations, Sleep Stories, breathing exercises, and music",Not identified in sources examined,No explicit AI-related claim was identified in the primary Calm sources examined during this data-collection pass; absence of a claim does not establish absence of AI-related functionality,"Developer states the app is intended to help users reduce stress, improve sleep, and build a meditation practice",Not explicitly specified beyond general consumer users in sources examined,Active,2026-09-08
APP006,Sanvello,Sanvello Health Inc. (a subsidiary associated with Optum/AbleTo per sources examined),Mental Health,anxiety;depression;stress;CBT/self-management,https://www.sanvello.com,"Developer/affiliated materials describe Sanvello as a self-care tool based on CBT concepts and mindfulness, offering mood tracking and coping-tool recommendations; at least one third-party source examined in 2026 states the product has been rebranded as ""AbleTo SelfCare+"" and restricted to AbleTo members",Not identified in sources examined,No explicit AI-related claim was identified in the primary Sanvello sources examined during this data-collection pass,"Developer/affiliated materials describe the app as helping people manage stress, anxiety, and depression via CBT-based tools and mood tracking",Not explicitly specified beyond general adult users in sources examined,Unclear,2026-09-08
APP007,MoodKit,"ThrivePort, LLC",Mental Health,depression;anxiety;CBT/self-management,https://www.thriveport.com/products/moodkit/,"Developer materials describe MoodKit as a CBT-based toolkit comprising a mood-enhancing activities library, a thought-checker tool, a mood tracker, and a journal",Not identified in sources examined,No explicit AI-related claim was identified in the primary MoodKit/Thriveport sources examined during this data-collection pass,Developer materials state MoodKit is intended to help users improve mood by changing thinking and behavior patterns using CBT-based strategies,Not explicitly specified beyond general adult users in sources examined,Unclear,2026-09-08
APP008,PTSD Coach,U.S. Department of Veterans Affairs National Center for PTSD and U.S. Department of Defense National Center for Telehealth & Technology,Medical,PTSD;trauma;symptom-management,https://www.ptsd.va.gov/appvid/mobile/,"Developer materials describe PTSD Coach as an app providing PTSD education, a self-assessment, symptom-management tools, and links to professional care and support resources",Not identified in sources examined,No explicit AI-related claim was identified in the primary VA/DoD sources examined during this data-collection pass,"Developer materials state the app is intended to help users learn about PTSD, self-assess symptoms, and manage day-to-day stress related to PTSD, and can be used with or without professional treatment","Developer materials state the app was designed for Veterans and military Servicemembers who have, or may have, PTSD, but can be used by anyone",Active,2026-09-08
APP009,Talkspace,"Talkspace LLC / Groop Internet Platform Inc. (Talkspace, Inc.)",Medical,teletherapy;anxiety;depression;couples counseling,https://www.talkspace.com,"Developer materials describe Talkspace as an online platform connecting users with licensed therapists via messaging, live video, and psychiatric services",Explicitly disclosed,"Developer's dedicated ""AI at Talkspace"" page and a 2025 press release describe an AI-powered ""Insights"" feature that helps clinicians prepare for and guide sessions; the developer states AI tools are used in a clinician-facing, not fully autonomous, capacity","Developer states the platform provides access to licensed therapy and psychiatric services for conditions including anxiety, depression, and relationship concerns",Not explicitly specified beyond general adult users in sources examined; separate teen-specific offerings are referenced by the developer,Active,2026-09-08
APP010,Rootd,Simply Rooted Media Inc.,Mental Health,panic attacks;anxiety,https://www.rootd.io,"Developer materials describe Rootd as an app centered on a ""panic button"" tool along with CBT-informed lessons, breathing exercises, and journaling for panic attacks and anxiety",Not identified in sources examined,No explicit AI-related claim was identified in the primary Rootd sources examined during this data-collection pass,"Developer materials describe the app as designed to provide immediate relief during panic attacks and longer-term anxiety management; Google Play listing uses the phrase ""scientifically validated"" without citing a specific study in the text examined",Not explicitly specified beyond general adult users in sources examined,Active,2026-09-08
